epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2590.64,1.95245,3.37443,0.01864,0.23665,0.2999,0.1711,0.05452,1.78379,4.68773,0.02532,0.00055538,0.00055538,0.00055538
2,5126.19,2.04147,2.55335,0.01973,0.3516,0.35944,0.29876,0.11686,1.71305,3.85231,0.0241,0.00105605,0.00105605,0.00105605
3,7643.07,1.96216,2.45573,0.01875,0.47407,0.41545,0.39475,0.16523,1.62856,2.35141,0.02251,0.00150171,0.00150171,0.00150171
4,10206.2,1.90564,2.27866,0.01777,0.52472,0.45829,0.45587,0.19582,1.5759,2.12265,0.02121,0.00141945,0.00141945,0.00141945
5,2509.12,1.83389,2.12807,0.01681,0.52659,0.48184,0.4749,0.21615,1.56436,1.86902,0.02117,0.00133693,0.00133693,0.00133693
6,5000.93,1.79969,2.00355,0.01634,0.53877,0.52817,0.51193,0.24863,1.46459,1.79388,0.01888,0.00125442,0.00125442,0.00125442
7,7471.78,1.75597,1.91483,0.01577,0.57855,0.51152,0.53167,0.2649,1.47457,1.69154,0.01871,0.0011719,0.0011719,0.0011719
8,9945.61,1.71839,1.8484,0.0152,0.60804,0.56271,0.59249,0.30717,1.42561,1.53455,0.01784,0.00108938,0.00108938,0.00108938
9,12432.2,1.69971,1.77667,0.01489,0.63063,0.56212,0.61761,0.31677,1.41532,1.46977,0.01806,0.00100687,0.00100687,0.00100687
10,14917.3,1.67522,1.7245,0.0147,0.6364,0.59491,0.64249,0.33877,1.37486,1.45787,0.01681,0.000924352,0.000924352,0.000924352
11,17414.2,1.76141,1.71131,0.01902,0.64737,0.5719,0.63421,0.3262,1.42328,1.37454,0.01796,0.000841835,0.000841835,0.000841835
12,19878.5,1.70718,1.62633,0.01794,0.66416,0.58998,0.64483,0.34298,1.37976,1.30736,0.01707,0.000759318,0.000759318,0.000759318
13,22286.8,1.69115,1.55404,0.01743,0.67686,0.59633,0.67118,0.3683,1.36173,1.25283,0.01696,0.000676802,0.000676802,0.000676802
14,2600.35,1.60681,1.55193,0.01375,0.68634,0.63606,0.69741,0.38653,1.31934,1.22255,0.01598,0.000594286,0.000594286,0.000594286
15,5217.17,1.57385,1.47588,0.01327,0.71635,0.60871,0.70098,0.39507,1.32816,1.1591,0.01615,0.000511769,0.000511769,0.000511769
16,7826.82,1.53628,1.42663,0.01286,0.71602,0.62245,0.70704,0.40002,1.31674,1.13791,0.01587,0.000429253,0.000429253,0.000429253
17,10441.2,1.51092,1.38886,0.01249,0.7113,0.65057,0.71888,0.40941,1.30001,1.10047,0.01539,0.000346736,0.000346736,0.000346736
18,13042.9,1.495,1.34226,0.01231,0.73026,0.63403,0.72691,0.41279,1.30399,1.09256,0.01543,0.00026422,0.00026422,0.00026422
19,15645.4,1.4728,1.30161,0.01214,0.72932,0.64211,0.73096,0.41454,1.30794,1.07128,0.0156,0.000181703,0.000181703,0.000181703
20,2382.79,1.43749,1.25386,0.01177,0.7237,0.64099,0.72748,0.41535,1.30953,1.057,0.01557,9.91865e-05,9.91865e-05,9.91865e-05
