epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,185.167,1.63691,5.05491,0.01286,0.43387,0.32361,0.29953,0.14429,1.71961,4.35289,0.01812,0.00996711,0.00332237,0.00996711,0.00332237,0.00996711,0.00332237,0.00996711,0.00332237
2,350.896,1.66875,2.28774,0.01379,0.37427,0.31479,0.25519,0.10483,2.04327,3.41926,0.0245,0.0197694,0.00658981,0.0197694,0.00658981,0.0197694,0.00658981,0.0197694,0.00658981
3,517.017,1.82498,2.07124,0.0155,0.39773,0.33977,0.29738,0.12124,2.20313,2.85673,0.02687,0.0293738,0.00979125,0.0293738,0.00979125,0.0293738,0.00979125,0.0293738,0.00979125
4,683.164,1.90602,2.09243,0.01663,0.43301,0.34765,0.30262,0.12849,2.13913,3.03816,0.02584,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,848.656,1.84781,1.93529,0.01594,0.49657,0.45136,0.41586,0.17597,2.01058,2.25422,0.0239,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1016.53,1.83238,1.84654,0.01558,0.51976,0.46992,0.45541,0.21743,1.93812,2.0666,0.02262,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1184.25,1.78326,1.75133,0.01502,0.55792,0.52252,0.53799,0.25944,1.85746,2.1199,0.02133,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1350.8,1.76869,1.6941,0.01474,0.57259,0.51819,0.54026,0.26399,1.86089,1.91182,0.02122,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1517.16,1.76774,1.66305,0.01457,0.57945,0.51332,0.53297,0.2615,1.82977,1.83975,0.02101,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1685.03,1.74664,1.63798,0.01439,0.59178,0.50827,0.52585,0.25958,1.8055,1.98378,0.0205,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1850.95,1.71686,1.58468,0.0142,0.62205,0.54648,0.60337,0.30981,1.77452,1.58191,0.0193,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
