epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/fire,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,9.999376925406978e-05,9.999376925406978e-05,3.232362587368698e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,9.997456072596833e-05,9.997456072596833e-05,3.2317416298610624e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,9.994237188948318e-05,9.994237188948318e-05,3.2307013952959096e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,9.989722457248718e-05,9.989722457248718e-05,3.2292418836732395e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,,,,,9.983912605093792e-05,9.983912605093792e-05,3.2273637771140784e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,,,,,9.976808360079303e-05,9.976808360079303e-05,3.2250673029921018e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,349,,,,,,,,,,,,,,,,,,,,,,,9.968411904992536e-05,9.968411904992536e-05,3.222353143428336e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,,,,,,,,,,,,,,,,,,,,,,9.958726150216535e-05,9.958726150216535e-05,3.2192222079174826e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,449,,,,,,,,,,,,,,,,,,,,,,,9.947753278538585e-05,9.947753278538585e-05,3.215675178580568e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,484,,,,,,,,,,,,,,,,,,,,,,,,,,0.35199910402297974,0.4455893337726593,0.6745637059211731,298.7375183105469,298.4756164550781,298.63531494140625,298.7520446777344,298.76190185546875,43.004737854003906,0.7327097654342651,0.4166964888572693,0.6616708040237427,5.0272321701049805,0.02978149615228176,0.03043329529464245,0.030651353299617767,0.030364379286766052,0.03713880851864815,0.5414777994155884,0.5940492153167725,0.5442911982536316,0.5451640486717224,0.591762125492096,0.13570240139961243,0.139910489320755,0.13966389000415802,0.13888368010520935,0.15515996515750885,0.7085782289505005,0.3987942337989807,0.3906729519367218,0.6507868766784668,0.6956782937049866,0.6564251184463501
0,484,3876.550048828125,3815.197021484375,3870.42626953125,3875.77685546875,3862.36328125,8.395491600036621,9.38058090209961,0.06785131990909576,0.06944908201694489,0.0692749097943306,0.06880006194114685,0.07689670473337173,0.9326255917549133,1.0266809463500977,0.9585217833518982,0.9378286004066467,1.038083791732788,0.26411348581314087,0.27062663435935974,0.26957353949546814,0.2672055959701538,0.2912174165248871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,499,,,,,,,,,,,,,,,,,,,,,,,9.935496200341731e-05,9.935496200341731e-05,3.211712737538619e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,549,,,,,,,,,,,,,,,,,,,,,,,9.921957098413259e-05,9.921957098413259e-05,3.207336476407363e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,599,,,,,,,,,,,,,,,,,,,,,,,9.907141065923497e-05,9.907141065923497e-05,3.202547077307827e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,649,,,,,,,,,,,,,,,,,,,,,,,9.891051740851253e-05,9.891051740851253e-05,3.197345904482063e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,699,,,,,,,,,,,,,,,,,,,,,,,9.873692033579573e-05,9.873692033579573e-05,3.191734322172124e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,749,,,,,,,,,,,,,,,,,,,,,,,9.855067764874548e-05,9.855067764874548e-05,3.185713921993738e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,799,,,,,,,,,,,,,,,,,,,,,,,9.835184027906507e-05,9.835184027906507e-05,3.1792862955626333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,849,,,,,,,,,,,,,,,,,,,,,,,9.814044460654259e-05,9.814044460654259e-05,3.1724528071208624e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
