epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,6171.1,1.61693,1.477,0.00322,0.59931,0.6555,0.62404,0.35188,1.37776,1.62032,0.00398,0.00180192,0.00180192,0.00180192
4,12345,1.55282,1.39875,0.00307,0.6244,0.64733,0.63988,0.38088,1.3245,1.51303,0.00391,0.001703,0.001703,0.001703
5,18494.3,1.51434,1.32539,0.00297,0.63471,0.67073,0.66461,0.39767,1.29244,1.48602,0.00376,0.001604,0.001604,0.001604
6,24634.5,1.46539,1.25465,0.00282,0.64134,0.6933,0.67847,0.41308,1.25987,1.46504,0.00364,0.001505,0.001505,0.001505
7,30775.4,1.42716,1.20434,0.00274,0.65479,0.6929,0.69111,0.43756,1.19132,1.38126,0.00333,0.001406,0.001406,0.001406
8,36921.3,1.3774,1.15513,0.00268,0.67539,0.68645,0.71762,0.45339,1.19883,1.36064,0.00335,0.001307,0.001307,0.001307
9,6154.44,1.3423,1.09738,0.00256,0.65286,0.70446,0.7013,0.4474,1.17377,1.398,0.00324,0.001208,0.001208,0.001208
10,12313.7,1.31428,1.04697,0.0025,0.67448,0.69533,0.71249,0.46227,1.14828,1.34197,0.00312,0.001109,0.001109,0.001109
11,18435.1,1.31435,1.04519,0.00272,0.6789,0.71336,0.72109,0.46227,1.17803,1.32458,0.00323,0.00101,0.00101,0.00101
12,24558.2,1.29105,0.9983,0.00262,0.68299,0.69939,0.71176,0.46322,1.15909,1.33238,0.00311,0.000911,0.000911,0.000911
13,30683.5,1.26149,0.94949,0.00258,0.67503,0.70548,0.71985,0.46854,1.16807,1.29522,0.00321,0.000812,0.000812,0.000812
14,36807.5,1.23109,0.91384,0.00248,0.69703,0.70396,0.73013,0.47647,1.1443,1.26681,0.00315,0.000713,0.000713,0.000713
15,6470.68,1.19389,0.89114,0.00221,0.7182,0.70396,0.74371,0.48946,1.12976,1.23672,0.00306,0.000614,0.000614,0.000614
16,12832.1,1.15578,0.83516,0.00215,0.69426,0.72349,0.7395,0.48764,1.13161,1.23543,0.00307,0.000515,0.000515,0.000515
17,19162.3,1.16765,0.85635,0.00215,0.70937,0.72882,0.74565,0.49177,1.13512,1.21581,0.00311,0.000416,0.000416,0.000416
18,6160.13,1.08539,0.75835,0.00198,0.7016,0.72755,0.74003,0.4882,1.14631,1.23253,0.00316,0.000317,0.000317,0.000317
19,12532.8,1.11158,0.84002,0.0021,0.71821,0.71512,0.74504,0.4949,1.12573,1.22619,0.00305,0.000218,0.000218,0.000218
20,12454,1.07383,0.78901,0.00201,0.70996,0.72405,0.74497,0.49303,1.08772,1.08523,0.00298,0.000119,0.000119,0.000119
