epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/smoke,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,,,,,,,,,,,9.999781468650326e-05,9.999781468650326e-05,3.232493554605753e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,9.999109170166776e-05,9.999109170166776e-05,3.2322761853720294e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,,,,,,,,,,,,,,,,,,,,,,9.997982124332339e-05,9.997982124332339e-05,3.231911705370294e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,,,,,,,,,,,,,,,,,,,,,,9.996400331147015e-05,9.996400331147015e-05,3.2314005693478975e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,249,,,,,,,,,,,,,,,,,,,,,,,9.994364518206567e-05,9.994364518206567e-05,3.230742549931165e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,299,,,,,,,,,,,,,,,,,,,,,,,9.991874685510993e-05,9.991874685510993e-05,3.229937647120096e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,349,,,,,,,,,,,,,,,,,,,,,,,9.988931560656056e-05,9.988931560656056e-05,3.228986088288366e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,399,,,,,,,,,,,,,,,,,,,,,,,9.985534416045994e-05,9.985534416045994e-05,3.2278881008096505e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,449,,,,,,,,,,,,,,,,,,,,,,,9.981683979276568e-05,9.981683979276568e-05,3.2266434573102742e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,499,,,,,,,,,,,,,,,,,,,,,,,9.977380250347778e-05,9.977380250347778e-05,3.2252523851639125e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,549,,,,,,,,,,,,,,,,,,,,,,,9.972624684451148e-05,9.972624684451148e-05,3.223715111744241e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,599,,,,,,,,,,,,,,,,,,,,,,,9.967417281586677e-05,9.967417281586677e-05,3.222031637051259e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,649,,,,,,,,,,,,,,,,,,,,,,,9.961758041754365e-05,9.961758041754365e-05,3.220202188458643e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,699,,,,,,,,,,,,,,,,,,,,,,,9.955647692549974e-05,9.955647692549974e-05,3.2182269933400676e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,749,,,,,,,,,,,,,,,,,,,,,,,9.949086961569265e-05,9.949086961569265e-05,3.2161062790692085e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,799,,,,,,,,,,,,,,,,,,,,,,,9.942076576407999e-05,9.942076576407999e-05,3.213840045646066e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,849,,,,,,,,,,,,,,,,,,,,,,,9.934616537066177e-05,9.934616537066177e-05,3.211428520444315e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,899,,,,,,,,,,,,,,,,,,,,,,,9.92670829873532e-05,9.92670829873532e-05,3.2088721582113067e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,949,,,,,,,,,,,,,,,,,,,,,,,9.918351861415431e-05,9.918351861415431e-05,3.206170958947041e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,999,,,,,,,,,,,,,,,,,,,,,,,9.90954868029803e-05,9.90954868029803e-05,3.2033251500251936e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1049,,,,,,,,,,,,,,,,,,,,,,,9.90029948297888e-05,9.90029948297888e-05,3.200335186193115e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1099,,,,,,,,,,,,,,,,,,,,,,,9.890604269457981e-05,9.890604269457981e-05,3.197201294824481e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1149,,,,,,,,,,,,,,,,,,,,,,,9.880465222522616e-05,9.880465222522616e-05,3.193923703292967e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
