epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2397.03,2.95231,4.97887,0.03357,0.00678,0.52728,0.02468,0.00665,2.18544,4.43802,0.03265,0.001667,0.001667,0.001667
2,4773.15,2.48698,3.88986,0.02599,0.12247,0.05667,0.06806,0.01972,1.97955,4.08167,0.02765,0.00165684,0.00165684,0.00165684
3,7154.34,2.26026,3.51423,0.02253,0.22177,0.11913,0.09753,0.03447,1.8293,3.43832,0.02484,0.00162661,0.00162661,0.00162661
4,9535.14,2.16246,3.30182,0.02094,0.25619,0.14054,0.11934,0.04043,1.85796,3.35046,0.02575,0.00157706,0.00157706,0.00157706
5,11930.3,2.10276,3.121,0.01995,0.19003,0.20302,0.1268,0.04679,1.74034,4.08475,0.02305,0.00150941,0.00150941,0.00150941
6,14323.2,2.06108,2.99577,0.01978,0.25483,0.25659,0.17243,0.06438,1.72829,3.13985,0.02336,0.00142531,0.00142531,0.00142531
7,16718.2,2.01135,2.87716,0.01902,0.29331,0.2506,0.20207,0.07756,1.71786,2.91508,0.02349,0.00132685,0.00132685,0.00132685
8,2272.01,1.9762,2.80882,0.01866,0.33497,0.28722,0.24128,0.09687,1.66499,2.77032,0.02238,0.00121645,0.00121645,0.00121645
9,4537.8,1.95123,2.73376,0.01819,0.28921,0.3182,0.22641,0.09679,1.64293,2.88604,0.02233,0.00109683,0.00109683,0.00109683
10,6801.03,1.91159,2.64231,0.01782,0.33572,0.35962,0.2844,0.11628,1.62439,2.5057,0.02158,0.000970919,0.000970919,0.000970919
11,9056.76,1.94983,2.66852,0.02151,0.35753,0.35608,0.29942,0.12949,1.62391,2.36351,0.02151,0.000841835,0.000841835,0.000841835
12,11305.4,1.9252,2.59262,0.02142,0.37313,0.37559,0.31532,0.13412,1.59723,2.3214,0.02102,0.000712751,0.000712751,0.000712751
13,13551.7,1.90963,2.51548,0.02117,0.38042,0.39625,0.33399,0.14541,1.58286,2.26482,0.02094,0.000586845,0.000586845,0.000586845
14,15808.5,1.88132,2.43399,0.02086,0.39539,0.4114,0.34928,0.15669,1.55047,2.21528,0.02062,0.000467218,0.000467218,0.000467218
15,2368.46,1.83837,2.40892,0.01727,0.37654,0.40873,0.35358,0.15688,1.56456,2.37033,0.02156,0.000356815,0.000356815,0.000356815
16,4699.82,1.81622,2.34039,0.01692,0.38791,0.43862,0.368,0.1657,1.54292,2.24711,0.02079,0.000258355,0.000258355,0.000258355
17,7023.45,1.79028,2.30931,0.01676,0.38577,0.43563,0.37303,0.16691,1.54582,2.24058,0.02082,0.000174262,0.000174262,0.000174262
18,9351.38,1.79514,2.29365,0.01677,0.40274,0.43356,0.38177,0.17199,1.53526,2.22587,0.02079,0.000106608,0.000106608,0.000106608
19,11677.4,1.78967,2.27774,0.01665,0.40885,0.43904,0.3864,0.17335,1.53674,2.24578,0.02084,5.70564e-05,5.70564e-05,5.70564e-05
20,13993.4,1.78397,2.26568,0.01671,0.40561,0.44142,0.3898,0.17567,1.54048,2.22617,0.02096,2.68292e-05,2.68292e-05,2.68292e-05
